Year,Loan Yrs,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
3,5,100.72,0.783,0.96,50.0,10.0,60.0,40.72,280.0,-239.28,117.6,-356.88,0.0,-356.88,5000
4,5,91.76,0.728,0.941,50.0,10.0,60.0,31.76,280.0,-248.24,78.4,-326.64,0.0,-326.64,5000
5,5,84.51,0.684,0.922,50.0,10.0,60.0,24.51,280.0,-255.49,39.2,-294.69,0.0,-294.69,5000
6,5,79.14,0.654,0.904,50.0,10.0,60.0,19.14,280.0,-260.86,0.0,-260.86,0.0,-260.86,5000
7,5,74.42,0.627,0.886,50.0,10.0,60.0,14.42,280.0,-265.58,0.0,-265.58,0.0,-265.58,5000
8,5,70.24,0.604,0.868,50.0,10.0,60.0,10.24,280.0,-269.76,0.0,-269.76,0.0,-269.76,5000
9,5,66.5,0.583,0.851,50.0,10.0,60.0,6.5,280.0,-273.5,0.0,-273.5,0.0,-273.5,5000
10,5,63.13,0.565,0.834,50.0,10.0,60.0,3.13,280.0,-276.87,0.0,-276.87,0.0,-276.87,5000
11,5,60.08,0.549,0.817,50.0,10.0,60.0,0.08,280.0,-279.92,0.0,-279.92,0.0,-279.92,5000
12,5,58.88,0.549,0.801,50.0,10.0,60.0,-1.12,280.0,-281.12,0.0,-281.12,0.0,-281.12,5000
1,7,133.96,1.0,1.0,50.0,10.0,60.0,73.96,280.0,-206.04,196.0,-402.04,0.0,-402.04,5000
2,7,111.71,0.851,0.98,50.0,10.0,60.0,51.71,280.0,-228.29,168.0,-396.29,0.0,-396.29,5000
3,7,100.72,0.783,0.96,50.0,10.0,60.0,40.72,280.0,-239.28,140.0,-379.28,0.0,-379.28,5000
4,7,91.76,0.728,0.941,50.0,10.0,60.0,31.76,280.0,-248.24,112.0,-360.24,0.0,-360.24,5000
5,7,84.51,0.684,0.922,50.0,10.0,60.0,24.51,280.0,-255.49,84.0,-339.49,0.0,-339.49,5000
6,7,79.14,0.654,0.904,50.0,10.0,60.0,19.14,280.0,-260.86,56.0,-316.86,0.0,-316.86,5000
7,7,74.42,0.627,0.886,50.0,10.0,60.0,14.42,280.0,-265.58,28.0,-293.58,0.0,-293.58,5000
8,7,70.24,0.604,0.868,50.0,10.0,60.0,10.24,280.0,-269.76,0.0,-269.76,0.0,-269.76,5000
9,7,66.5,0.583,0.851,50.0,10.0,60.0,6.5,280.0,-273.5,0.0,-273.5,0.0,-273.5,5000
10,7,63.13,0.565,0.834,50.0,10.0,60.0,3.13,280.0,-276.87,0.0,-276.87,0.0,-276.87,5000
11,7,60.08,0.549,0.817,50.0,10.0,60.0,0.08,280.0,-279.92,0.0,-279.92,0.0,-279.92,5000
12,7,58.88,0.549,0.801,50.0,10.0,60.0,-1.12,280.0,-281.12,0.0,-281.12,0.0,-281.12,5000
1,10,133.96,1.0,1.0,50.0,10.0,60.0,73.96,280.0,-206.04,196.0,-402.04,0.0,-402.04,5000
2,10,111.71,0.851,0.98,50.0,10.0,60.0,51.71,280.0,-228.29,176.4,-404.69,0.0,-404.69,5000
3,10,100.72,0.783,0.96,50.0,10.0,60.0,40.72,280.0,-239.28,156.8,-396.08,0.0,-396.08,5000
4,10,91.76,0.728,0.941,50.0,10.0,60.0,31.76,280.0,-248.24,137.2,-385.44,0.0,-385.44,5000
5,10,84.51,0.684,0.922,50.0,10.0,60.0,24.51,280.0,-255.49,117.6,-373.09,0.0,-373.09,5000
6,10,79.14,0.654,0.904,50.0,10.0,60.0,19.14,280.0,-260.86,98.0,-358.86,0.0,-358.86,5000
7,10,74.42,0.627,0.886,50.0,10.0,60.0,14.42,280.0,-265.58,78.4,-343.98,0.0,-343.98,5000
8,10,70.24,0.604,0.868,50.0,10.0,60.0,10.24,280.0,-269.76,58.8,-328.56,0.0,-328.56,5000
9,10,66.5,0.583,0.851,50.0,10.0,60.0,6.5,280.0,-273.5,39.2,-312.7,0.0,-312.7,5000
10,10,63.13,0.565,0.834,50.0,10.0,60.0,3.13,280.0,-276.87,19.6,-296.47,0.0,-296.47,5000
11,10,60.08,0.549,0.817,50.0,10.0,60.0,0.08,280.0,-279.92,0.0,-279.92,0.0,-279.92,5000
12,10,58.88,0.549,0.801,50.0,10.0,60.0,-1.12,280.0,-281.12,0.0,-281.12,0.0,-281.12,5000
